"Module Name","Display Name","Driver Type","Link Date"
"LSI_SAS3i","LSI_SAS3i","Kernel ","04.04.2019 8:54:35"
"LSI_SSS","LSI_SSS","Kernel ","16.03.2013 0:39:38"
"luafv","Virtualizace soubor… n stroje ü¡zen¡ u§ivatelskìch £Ÿt…","File System ",""
"lxss","lxss","Kernel ",""
"mausbhost","OvladaŸ hostitelsk‚ho ýadiŸe MA-USB","Kernel ",""
"mausbip","OvladaŸ filtru IP typu MA-USB","Kernel ",""
"MbbCx","MBB Network Adapter Class Extension","Kernel ",""
"megasas","megasas","Kernel ","05.03.2015 3:36:29"
"megasas2i","megasas2i","Kernel ","04.04.2019 15:28:53"
"megasas35i","megasas35i","Kernel ","20.06.2019 12:01:12"
"megasr","megasr","Kernel ","04.06.2013 0:02:39"
"MEIx64","Intel(R) Management Engine Interface ","Kernel ","31.08.2015 21:49:07"
"Microsoft_Bluetooth_AvrcpTransport","OvladaŸ pýenos… Avrcp protokolu Microsoft Bluetooth","Kernel ",""
"mlx4_bus","Enumer tor sbØrnice Mellanox ConnectX","Kernel ","19.06.2019 15:21:08"
"MMCSS","Multimedia Class Scheduler","Kernel ",""
"Modem","Modem","Kernel ",""
"monitor","Slu§ba ovladaŸe funkce tý¡dy monitor… Microsoft","Kernel ",""
"mouclass","Mouse Class Driver","Kernel ",""
"mouhid","OvladaŸ myçi standardu HID","Kernel ",""
"mountmgr","Spr vce pý¡pojnìch bod…","Kernel ",""
"mpsdrv","Windows Defender Firewall Authorization Driver","Kernel ",""
"MRxDAV","OvladaŸ pýesmØrovaŸe klienta WebDav","File System ",""
"mrxsmb","Ob lka a j dro minipýesmØrovaŸ… SMB","File System ",""
"mrxsmb20","Mini-pýesmØrovaŸ SMB 2.0","File System ",""
"MsBridge","Most MAC spoleŸnosti Microsoft","Kernel ",""
"Msfs","Msfs","File System ",""
"msgpiowin32","BØ§nì ovladaŸ pro tlaŸ¡tka, dokovanì re§im a indik tor pýenosn‚ho poŸ¡taŸe nebo tabletu","Kernel ",""
"mshidkmdf","Pass-through HID to KMDF Filter Driver","Kernel ",""
"mshidumdf","OvladaŸ pro pýed v n¡ dat ze zaý¡zen¡ HID do architektury UMDF","Kernel ",""
"msisadrv","msisadrv","Kernel ",""
"MSKSSRV","Proxy server slu§by stream… Microsoft","Kernel ",""
"MSPCLOCK","Proxy server hodin stream… Microsoft","Kernel ",""
"MSPQM","Proxy server spr vce kvality stream… Microsoft","Kernel ",""
"MsQuic","MsQuic","Kernel ",""
"MsRPC","MsRPC","Kernel ",""
"MsSecFlt","Minifiltr souŸ st¡ pro ud losti zabezpeŸen¡ od Microsoftu","Kernel ",""
"mssmbios","OvladaŸ Microsoft System Management BIOS","Kernel ",""
"MSTEE","Konvertor j¡mka-j¡mka typu T stream… Microsoft","Kernel ",""
"MTConfig","Microsoft Input Configuration Driver","Kernel ",""
"Mup","Mup","File System ",""
"mvumis","mvumis","Kernel ","23.05.2014 22:39:04"
"NativeWifiP","Filtr NativeWiFi","Kernel ",""
"ndfltr","Slu§ba NetworkDirect","Kernel ","19.06.2019 15:18:42"
"NDIS","Syst‚movì ovladaŸ rozhran¡ NDIS","Kernel ",""
"NdisCap","Microsoft NDIS Capture","Kernel ",""
"NdisImPlatform","Protokol multiplexoru pro s¡œovì adapt‚r od spoleŸnosti Microsoft","Kernel ",""
"NdisTapi","Remote Access NDIS TAPI Driver","Kernel ",""
"Ndisuio","NDIS Usermode I/O Protocol","Kernel ",""
"NdisVirtualBus","Enumer tor virtu ln¡ho s¡œov‚ho adapt‚ru Microsoft","Kernel ",""
"NdisWan","Remote Access NDIS WAN Driver","Kernel ",""
"ndiswanlegacy","Remote Access LEGACY NDIS WAN Driver","Kernel ",""
"NDKPing","NDKPing Driver","Kernel ",""
"ndproxy","NDIS Proxy Driver","Kernel ",""
"Ndu","Windows Network Data Usage Monitoring Driver","Kernel ",""
"NetAdapterCx","Network Adapter Wdf Class Extension Library","Kernel ",""
"NetBIOS","NetBIOS Interface","File System ",""
"NetBT","NetBT","Kernel ",""
"netvsc","netvsc","Kernel ",""
"Npfs","Npfs","File System ",""
"npsvctrig","Named pipe service trigger provider","Kernel ",""
"nsiproxy","NSI Proxy Service Driver","Kernel ",""
"Ntfs","Ntfs","File System ",""
"Null","Null","Kernel ",""
"nvdimm","OvladaŸ Microsoft pro zaý¡zen¡ NVDIMM","Kernel ",""
"nvraid","nvraid","Kernel ","21.04.2014 20:28:42"
"nvstor","nvstor","Kernel ","21.04.2014 20:34:03"
"P9Rdr","Plan 9 Redirector Driver","Kernel ",""
"Parport","OvladaŸ paraleln¡ho portu","Kernel ",""
"partmgr","OvladaŸ odd¡lu","Kernel ",""
"passthruparser","PassthroughParser","Kernel ",""
"pci","üadiŸ sbØrnice PCI","Kernel ",""
